target_month,month_end_date,trading_days_in_month,realized_volatility,forecast_previous_month_rv,forecast_six_month_rv,forecast_gjr_garch,forecast_egarch,estimation_sample_size_days
1999-01,1999-01-29,19,0.6940358388888783,1.0639070830130317,1.002958803316423,0.2830973910142923,0.8539438706337643,1002
1999-02,1999-02-26,15,0.46767735422721707,0.6940358388888783,0.9356874029690057,0.3657253866319155,1.322506784518284,1021
1999-03,1999-03-31,21,0.6162460601485332,0.46767735422721707,0.8022671438148399,0.29132758661519387,0.8316435741122897,1036
1999-04,1999-04-30,22,0.3742153098813578,0.6162460601485332,0.7309736454536345,0.3273118933435225,1.0278215703346885,1057
1999-05,1999-05-28,19,0.42705988475994366,0.3742153098813578,0.6425612548655643,0.30073995988112295,0.7634758312252892,1079
1999-06,1999-06-30,18,0.602470287124986,0.42705988475994366,0.6182866888168904,0.4121453612644339,1.3767859956382846,1098
1999-07,1999-07-30,22,0.4845500916270185,0.602470287124986,0.507411076285259,0.41478332842661464,1.443639492940929,1116
1999-08,1999-08-31,23,0.4476214482896044,0.4845500916270185,0.4773790889922521,0.3314330709943748,0.9146712277658742,1138
1999-09,1999-09-30,23,0.5936686902512394,0.4476214482896044,0.48510368230523826,0.3254388181994033,0.8855116296639831,1161
1999-10,1999-10-29,21,0.5704472279060192,0.5936686902512394,0.4811945931797631,0.3600482115634424,1.1166356177220684,1184
1999-11,1999-11-30,18,0.48331056374903514,0.5704472279060192,0.5150884548386065,0.5043975969552262,1.8146707718904371,1205
1999-12,1999-12-31,22,0.6167739551470892,0.48331056374903514,0.5208466903044094,0.34109861444289263,0.9476949606440747,1223
2000-01,2000-01-31,19,0.645389869664855,0.6167739551470892,0.5158478910129501,0.3141066206520288,0.8586665861750721,1245
2000-02,2000-02-29,17,0.32645488632374026,0.645389869664855,0.5531306747456565,0.5279438067057428,1.7713048227750647,1264
2000-03,2000-03-31,24,0.46788308406165396,0.32645488632374026,0.534901998705737,0.4000298259242722,1.3443368753839988,1281
2000-04,2000-04-28,15,0.7325245987883434,0.46788308406165396,0.5132934718655828,0.35136722813319443,1.0201964066544351,1305
2000-05,2000-05-31,19,0.4877534859365671,0.7325245987883434,0.5270316727825135,0.3486125288526523,1.0659097562781532,1320
2000-06,2000-06-30,23,0.4964949758496973,0.4877534859365671,0.5254774529630828,0.3318760297234793,0.8962244862754071,1339
2000-07,2000-07-31,23,0.6282778194647985,0.4964949758496973,0.5040958633772517,0.3579222907410006,1.0750388007466776,1362
2000-08,2000-08-31,22,0.44423137725480594,0.6282778194647985,0.5153270393789179,0.3732016983141973,1.1350145557346014,1385
2000-09,2000-09-29,20,0.4345657058219809,0.44423137725480594,0.5313690818263936,0.36569900441581465,1.0915460608179801,1407
2000-10,2000-10-31,22,0.5355498172156172,0.4345657058219809,0.5205174992625455,0.41150218657575116,1.342157579804714,1427
2000-11,2000-11-30,21,0.5532662490389926,0.5355498172156172,0.4946366667653505,0.4982374511465143,1.678593346958651,1449
2000-12,2000-12-29,19,0.5824784708895548,0.5532662490389926,0.5090280515273967,0.4053627316458514,1.1207603985054952,1470
2001-01,2001-01-31,17,0.7524015364495744,0.5824784708895548,0.5275610433541328,0.37233487686631583,1.1368068919763836,1489
2001-02,2001-02-28,19,1.1123366994044392,0.7524015364495744,0.5351730222361478,0.35872810853294057,0.9904838850114427,1506
2001-03,2001-03-30,20,0.9565727142631628,1.1123366994044392,0.6552576517232481,0.39177795390214826,1.1558556389742192,1525
2001-04,2001-04-30,16,1.1717629572484685,0.9565727142631628,0.7362858923630227,0.4026802683029134,1.3004092166772139,1545
2001-05,2001-05-31,22,0.7623889957400898,1.1717629572484685,0.8174555289949473,0.3772095060474207,1.1547095719026008,1561
2001-06,2001-06-29,22,0.7917921762888317,0.7623889957400898,0.8456465004545242,0.37454556866839894,1.1099575839870643,1583
