model_name,number_of_observations,root_mean_squared_error,mean_absolute_error,mean_absolute_percentage_error,pearson_correlation,pearson_correlation_pvalue,mz_intercept_alpha,mz_slope_beta,mz_r_squared,mz_intercept_pvalue,mz_slope_pvalue,mz_joint_f_statistic,mz_joint_f_pvalue
(a) RV 1-month,324,0.23091714354108087,0.1507470872493405,22.086006447488014,0.7982088550347103,7.299588578030636e-73,0.14382677796592308,0.7970722831733585,0.6371373762558229,1.6570936194763836e-07,7.299588578032357e-73,18.327779210575137,2.8953910953644058e-08
(b) RV 6-month,324,0.24886930670551966,0.16358197370082325,24.267555236990994,0.7382927525876516,5.0869844526110795e-57,0.10652216224057842,0.8629395928783341,0.5450761885234513,0.0017621613966553756,5.0869844526115193e-57,5.142775104212967,0.006330688405493636
(c) GJR-GARCH,324,0.49823697632397557,0.36576627010755475,43.097983689501376,0.3008162997976978,3.347945499930767e-08,0.1348385077780142,1.6175506178535384,0.09049044622397828,0.1957401565835822,3.347945499930679e-08,172.07504761357345,1.478046708829933e-51
(d) EGARCH,324,0.5139477447250201,0.4264592739378826,82.72595628479556,0.3377744663684478,4.3530889404043426e-10,0.22064739589694032,0.46076962610249933,0.11409159013048953,0.005439170783985238,4.3530889404046605e-10,202.85350126066402,9.767651211941665e-58
